name,shorttype,length,index,type,defaultValue,property_Text,properties_Id
Transaction_Definition_Id_18,N,1,81,Int,0,This field works in conjunction with the Inter Branching Flag (displacement 0093) to identify inter-branch transactions.,20
Transaction_Processed_Flag_18,N,1,82,Int,0,This flag can have the following values :,20
BranchPower_Transaction_Reference_Id_18,A,4,83,String,BRFO,This field is set to BRFO to indicate a BranchPower Front Office message. It is not used by the TPS Transaction Processing Modules.,20
Message_Type_37,N,1,87,Int,1,This field is exactly the same as the Message Type field (displacement 0032).,20
BankMaster_Destination_Branch_Number_36,N,2,88,Int,00,This field must be set to zeros. The TPS CIO module maps the source country code, IMD and branch number to a BankMaster branch number and inserts this value into this field.,20
BankMaster_Destination_Branch_Number_37,N,2,90,Int,00,This field must be set to zeros. The TPS CIO maps the destination country code, IMD and branch number to a BankMaster branch number and inserts this value into this field.,20
Filler_45,N,1,92,Int,0,This field should be set to zeros.,20
Inter_Branching_Flag_18,A,1,93,String,0,This flag is used along with the Transaction Definition Id (displacement 0081) to identify inter-branching transactions. This flag can have the following values :,20
Device_Id_18,N,4,94,Int,0000,The device ID from which the transaction originated. This field must be set to zeros where the device id is unknown.,20
Message_Function_Code_18,N,1,98,Int,5,This field determines the type of transaction. It can have the following values :,20
Transaction_Type_36,N,2,99,Int,00,Not currently used.,20
Force_Post_Flag_18,N,1,101,Int,0,This field determines how the transaction should be treated. It can have the following values :,20
Transaction_Date_18,N,8,102,Int,20170215,The date the transaction originated from the front-office application. It must be in the format CCYYMMDD.,20
User_Id_18,A,4,110,String,RODR,The ID of the user who entered the transaction. The TPS uses the first three characters of this field along with the Transaction Sequence Number and Transaction Chain Number to generate a unique transaction reference for the transaction within TPS and Ban,20
Transaction_Sequence_Number_18,N,5,114,Int,00000,Each transaction must be assigned a unique transaction sequence number. However, each transaction within a chained series of BranchPower transactions must have the same sequence number. The Transaction Chain Number for each transaction in the chain must b,20
Transaction_Chain_Number_18,N,2,119,Int,00,Each transaction within a chain must be assigned a unique chain number. For transactions that are not part of a chain, this field must be set to 01.,20
Host_Task_Id_18,A,4,121,String,ST01,This field specifies which TPM should process the transaction. For a full list of valid codes, see the Introduction to this document.,20
BankMaster_Transaction_Type_18,A,2,125,String,  ,The BankMaster transaction type to be used for this transaction. It must exist on the BankMaster Control file. This field is used only for financial messages and on all other messages it should be set to 00.,20
Authorised_Flag_18,A,1,127,String,0,This field must be initialised to 0.,20
Directory_18,A,6,128,String,esiubp,The easidata directory name,20
Name_of_File_18,A,6,134,String,cusal3,The easidata parameter file name,20
Transaction_Type_37,N,1,140,Int,2,1- insert , 2 – Amend, 3 - Inquiry,20
No_of_Fields_13,N,2,141,Int,60,Total number of fields in parameter file,20
Dsp_of_CLIENT NR_5,N,8,143,Int,01060002,01 – Field  number in parameter file,20
Filler     _419,A,3,151,String,   ,Filler,20
CLIENT NR _5,N,6,154,Int,599815,Value for field,20
Dsp_of_SHORT NAME_5,A,8,160,String,02300008,,20
Filler      _5,A,3,168,String,   ,,20
SHORT NAME_5,A,30,171,String,MANISCALCO CARMELA            ,Value for field,20
Dsp_of_POST NAME_5,A,8,201,String,03500231,,20
Filler     _420,A,3,209,String,   ,Filler,20
POST NAME_5,A,50,212,String,MS CARMELA MANISCALCO                             ,Value for field,20
Dsp_of_ADDRESS 1_5,A,8,262,String,04300038,,20
Filler     _421,A,3,270,String,   ,Filler,20
ADDRESS 1_5,A,30,273,String,NAGHAL                        ,Value for field,20
Dsp_of_ADDRESS 2_5,A,8,303,String,05300068,,20
Filler     _422,A,3,311,String,   ,Filler,20
ADDRESS 2_5,A,30,314,String,05 TRIQ TAL-FUKLAR            ,Value for field,20
Dsp_of_ADDRESS 3_5,A,8,344,String,06200098,,20
Filler     _423,A,3,352,String,   ,Filler,20
ADDRESS 3_5,A,20,355,String,ATTARD              ,Value for field,20
Dsp_of_ADDRESS 4_5,A,8,375,String,07200118,,20
Filler     _424,A,3,383,String,   ,Filler,20
ADDRESS 4_5,A,20,386,String,MALTA               ,Value for field,20
Dsp_of_POST CODE_5,A,8,406,String,08100138,,20
Filler     _425,A,3,414,String,   ,Filler,20
POST CODE_5,A,10,417,String,ATD1258   ,Value for field,20
Dsp_of_ALHPA-CODE_5,A,8,427,String,09151149,,20
Filler     _426,A,3,435,String,   ,Filler,20
ALHPA-CODE_5,A,15,438,String,MANISCALCOCARME,Value for field,20
Dsp_of_DATE EST_5,A,8,453,String,10080176,,20
Filler     _427,A,3,461,String,   ,Filler,20
DATE EST_5,N,8,464,Int,21021971,Value for field,20
Dsp_of_HOME PHONE_5,A,8,472,String,11091852,,20
Filler     _428,A,3,480,String,   ,Filler,20
HOME PHONE_5,A,9,483,String,21456789 ,Value for field,20
Dsp_of_ALT PHONE_5,A,8,492,String,12091861,,20
Filler     _429,A,3,500,String,   ,Filler,20
ALT PHONE_5,A,9,503,String,21456790 ,Value for field,20
Dsp_of_OCCUPATION_5,A,8,512,String,13021870,,20
Filler     _430,A,3,520,String,   ,Filler,20
OCCUPATION_5,A,2,523,String,03,Value for field,20
Dsp_of_EMPLOYER_5,A,8,525,String,14161872,,20
Filler     _431,A,3,533,String,   ,Filler,20
EMPLOYER_5,A,16,536,String,FENECH INTERIORS,Value for field,20
Dsp_of_LOC TAX NO_5,A,8,552,String,15101888,,20
Filler     _432,A,3,560,String,   ,Filler,20
LOC TAX NO_5,A,10,563,String,652371M   ,Value for field,20
Dsp_of_MARITAL ST_5,A,8,573,String,16011898,,20
Filler     _433,A,3,581,String,   ,Filler,20
MARITAL ST_5,A,1,584,String,S,Value for field,20
Dsp_of_CNTR RISK_5,A,8,585,String,17021921,,20
Filler     _434,A,3,593,String,   ,Filler,20
CNTR RISK_5,A,2,596,String,MT,Value for field,20
Dsp_of_CNTR CTZN_5,A,8,598,String,18021923,,20
Filler     _435,A,3,606,String,   ,Filler,20
CNTR CTZN_5,A,2,609,String,MT,Value for field,20
Dsp_of_CNTR RES_5,A,8,611,String,19021925,,20
Filler     _436,A,3,619,String,   ,Filler,20
CNTR RES_5,A,2,622,String,MT,Value for field,20
Dsp_of_NXT REV DT_5,A,8,624,String,20081927,,20
Filler     _437,A,3,632,String,   ,Filler,20
NXT REV DT_5,N,8,635,Int,20170213,Value for field,20
Dsp_of_ID-CARD-1_5,A,8,643,String,21081933,,20
Filler     _438,A,3,651,String,   ,Filler,20
ID-CARD-1_5,A,8,654,String,652371M ,Value for field,20
Dsp_of_ID-CARD-2_5,A,8,662,String,22081941,,20
Filler     _439,A,3,670,String,   ,Filler,20
ID-CARD-2_5,A,8,673,String,        ,Value for field,20
Dsp_of_ID-CARD-3 _5,A,8,681,String,23081949,,20
Filler     _440,A,3,689,String,   ,Filler,20
ID-CARD-3 _5,A,8,692,String,        ,Value for field,20
Dsp_of_SOC ECO GR_5,A,8,700,String,24011957,,20
Filler     _441,A,3,708,String,   ,Filler,20
SOC ECO GR_5,N,1,711,Int,1,Value for field,20
Dsp_of_FTHR/SPOUS_5,A,8,712,String,25121958,,20
Filler     _442,A,3,720,String,   ,Filler,20
FTHR/SPOUS_5,A,12,723,String,JOHN MARY   ,Value for field,20
Dsp_of_CONN CLNT1_5,A,8,735,String,26061970,,20
Filler     _443,A,3,743,String,   ,Filler,20
CONN CLNT1_5,A,6,746,String,      ,Value for field,20
Dsp_of_CONN CLNT2_5,A,8,752,String,27061976,,20
Filler     _444,A,3,760,String,   ,Filler,20
CONN CLNT2_5,A,6,763,String,      ,Value for field,20
Dsp_of_CONN CLNT3_5,A,8,769,String,28061982,,20
Filler     _445,A,3,777,String,   ,Filler,20
CONN CLNT3_5,A,6,780,String,      ,Value for field,20
Dsp_of_CONN CLNT4_5,A,8,786,String,29061988,,20
Filler     _446,A,3,794,String,   ,Filler,20
CONN CLNT4_5,A,6,797,String,      ,Value for field,20
Dsp_of_PRIME A/C_5,A,8,803,String,30130155,,20
Filler     _447,A,3,811,String,   ,Filler,20
PRIME A/C_5,A,13,814,String,             ,Value for field,20
Dsp_of_BANK FLAG_5,A,8,827,String,31010175,,20
Filler     _448,A,3,835,String,   ,Filler,20
BANK FLAG_5,N,1,838,Int,0,Value for field,20
Dsp_of_NON-RES CD_5,A,8,839,String,32010148,,20
Filler     _449,A,3,847,String,   ,Filler,20
NON-RES CD_5,A,1,850,String,0,Value for field,20
Dsp_of_STAFF IND._5,A,8,851,String,33010184,,20
Filler     _450,A,3,859,String,   ,Filler,20
STAFF IND._5,A,1,862,String,0,Value for field,20
Dsp_of_SEX INDIC._5,A,8,863,String,34010186,,20
Filler     _451,A,3,871,String,   ,Filler,20
SEX INDIC._5,A,1,874,String,F,Value for field,20
Dsp_of_LANG IND _5,A,8,875,String,35010185,,20
Filler     _452,A,3,883,String,   ,Filler,20
LANG IND _5,N,1,886,Int,0,Value for field,20
Dsp_of_GAP ANL IN_5,A,8,887,String,36010187,,20
Filler     _453,A,3,895,String,   ,Filler,20
GAP ANL IN_5,N,1,898,Int,0,Value for field,20
Dsp_of_CORR ADD_5,A,8,899,String,37060190,,20
Filler     _454,A,3,907,String,   ,Filler,20
CORR ADD_5,A,6,910,String,      ,Value for field,20
Dsp_of_INT PAID _5,A,8,916,String,38010291,,20
Filler     _455,A,3,924,String,   ,Filler,20
INT PAID _5,N,1,927,Int,0,Value for field,20
Dsp_of_INT RECD._5,A,8,928,String,39010292,,20
Filler     _456,A,3,936,String,   ,Filler,20
INT RECD._5,N,1,939,Int,0,Value for field,20
Dsp_of_FX FUT IND_5,A,8,940,String,40010299,,20
Filler     _457,A,3,948,String,   ,Filler,20
FX FUT IND_5,N,1,951,Int,0,Value for field,20
Dsp_of_COMM CODE _5,A,8,952,String,41010399,,20
Filler     _458,A,3,960,String,   ,Filler,20
COMM CODE _5,A,1,963,String,0,Value for field,20
Dsp_of_ALT. MSG.?_5,A,8,964,String,42010385,,20
Filler     _459,A,3,972,String,   ,Filler,20
ALT. MSG.?_5,N,1,975,Int,0,Value for field,20
Dsp_of_FIN. INST._5,A,8,976,String,43010396,,20
Filler     _460,A,3,984,String,   ,Filler,20
FIN. INST._5,N,1,987,Int,0,Value for field,20
Dsp_of_TAX FLAG_5,A,8,988,String,44010397,,20
Filler     _461,A,3,996,String,   ,Filler,20
TAX FLAG_5,A,1,999,String, ,Value for field,20
Dsp_of_LABEL PRT _5,A,8,1000,String,45010374,,20
Filler     _462,A,3,1008,String,   ,Filler,20
LABEL PRT _5,N,1,1011,Int,0,Value for field,20
Dsp_of_STMT FLAG_5,A,8,1012,String,46011117,,20
Filler     _463,A,3,1020,String,   ,Filler,20
STMT FLAG_5,N,1,1023,Int,0,Value for field,20
Dsp_of_FILLER_5,A,8,1024,String,47070168,,20
Filler     _464,A,3,1032,String,   ,Filler,20
FILLER_5,A,7,1035,String,       ,Value for field,20
Dsp_of_BRANCH NO_5,A,8,1042,String,48041848,,20
Filler     _465,A,3,1050,String,   ,Filler,20
BRANCH NO_5,N,4,1053,Int,0005,Value for field,20
Dsp_of_TITLES_5,A,8,1057,String,49100281,,20
Filler     _466,A,3,1065,String,   ,Filler,20
TITLES_5,A,10,1068,String,          ,Value for field,20
Dsp_of_ZONE _5,A,8,1078,String,50011994,,20
Filler     _467,A,3,1086,String,   ,Filler,20
ZONE _5,A,1,1089,String,A,Value for field,20
Dsp_of_ALTKEY ONE_5,A,8,1090,String,51151164,,20
Filler     _468,A,3,1098,String,   ,Filler,20
ALTKEY ONE_5,A,15,1101,String,652371M        ,Value for field,20
Dsp_of_MAIDEN SNM_2,A,8,1116,String,52301995,,20
Filler     _469,A,3,1124,String,   ,Filler,20
MAIDEN SNM_2,A,30,1127,String,CAMENZULI                     ,Value for field,20
Dsp_of_DEPT.INDIC_5,A,8,1157,String,53011908,,20
Filler     _470,A,3,1165,String,   ,Filler,20
DEPT.INDIC_5,N,1,1168,Int,0,Value for field,20
Dsp_of_RSK GRADE_5,A,8,1169,String,54021909,,20
Filler     _471,A,3,1177,String,   ,Filler,20
RSK GRADE_5,A,2,1180,String,R2,Value for field,20
Dsp_of_CUST TYPE_3,A,8,1182,String,55011911,,20
Filler     _472,A,3,1190,String,   ,Filler,20
CUST TYPE_3,A,1,1193,String,P,Value for field,20
Dsp_of_DOC.IN.ORD_5,A,8,1194,String,56012025,,20
Filler     _473,A,3,1202,String,   ,Filler,20
DOC.IN.ORD_5,A,1,1205,String,Y,Value for field,20
Dsp_of_DOC. TYPE_5,A,8,1206,String,57012032,,20
Filler     _474,A,3,1214,String,   ,Filler,20
DOC. TYPE_5,A,1,1217,String,I,Value for field,20
Dsp_of_CNTR ISSUE_5,A,8,1218,String,58022033,,20
Filler     _475,A,3,1226,String,   ,Filler,20
CNTR ISSUE_5,A,2,1229,String,MT,Value for field,20
Dsp_of_REL. PARTY_5,A,8,1231,String,59012036,,20
Filler     _476,A,3,1239,String,   ,Filler,20
REL. PARTY_5,A,1,1242,String,N,Value for field,20
Dsp_of_DTE INSERT_5,A,8,1243,String,60082026,,20
Filler     _477,A,3,1251,String,   ,Filler,20
DTE INSERT_5,N,8,1254,Int,20170213,Value for field,20
Destination_Mailbox,A,1,0,String,b,This field identifies the delivery system to the TPS. Transactions generated by BranchPower set this field to a. Other delivery systems can use any value.,21
Destination_Country_Code,N,3,1,Int,470,The 3-digit ISO country code of the destination bank. This field is used in conjunction with the Destination Interchange Member and the Destination Branch Number to determine the BankMaster branch number for the destination account.,21
Destination_IMD_Code,N,6,4,Int,512345,The 6 -digit IMD of the destination bank.,21
Destination_Branch_Number,N,4,10,Int,0005,The destination branch number.,21
Source_Mailbox,A,1,14,String,a,This field identifies the type of processing to be carried out on the transaction. The following values are currently in use:,21
Source_Country_Code,N,3,15,Int,470,The 3-digit ISO country code of the bank at which the transaction was entered.,21
Source_IMD_Code,N,6,18,Int,512345,The 6-digit IMD of the bank at which the transaction was entered.,21
Source_Branch_Number,N,4,24,Int,0019,The branch number of the branch at which the transaction was entered.,21
Business_Period,N,4,28,Int,0000,Not currently used.,21
Message_Type,N,1,32,Int,1,This field should be set to 1 (response message required from the remote server).,21
Sequence_Number,N,6,33,Int,000000,Used by the TPS system software.,21
Time,N,6,39,Int,093517,The time the transaction was entered. It must be in the format HHMMSS.,21
Transaction_Status,N,1,45,Int,0,This field should have a value of 0 to indicate a normal message. It may be intercepted by the TPS CIO module and amended to:,21
Message_Flags,A,1,46,String,@,This field should have a value of 40HEX for a normal message.,21
Reconciliation_Period,N,4,47,Int,0000,Not currently used.,21
Reconciliation_Currency,N,3,51,Int,000,Not currently used.,21
Reconciliation_Amount_Sign,A,1,54,String,0,Not currently used.,21
Reconciliation_Amount,N,14,55,Int,00000000000000,Not currently used.,21
Filler,N,8,69,Int,N       ,This field should be set to zeros.,21
Message_Length,N,4,77,Int,1262,The length of the full request message (including the request header).,21
Transaction_Definition_Id,N,1,81,Int,0,This field works in conjunction with the Inter Branching Flag (displacement 0093) to identify inter-branch transactions.,21
Transaction_Processed_Flag,N,1,82,Int,0,This flag can have the following values :,21
BranchPower_Transaction_Reference_Id,A,4,83,String,BRFO,This field is set to BRFO to indicate a BranchPower Front Office message. It is not used by the TPS Transaction Processing Modules.,21
Message_Type,N,1,87,Int,1,This field is exactly the same as the Message Type field (displacement 0032).,21
BankMaster_Destination_Branch_Number,N,2,88,Int,00,This field must be set to zeros. The TPS CIO module maps the source country code, IMD and branch number to a BankMaster branch number and inserts this value into this field.,21
BankMaster_Destination_Branch_Number,N,2,90,Int,00,This field must be set to zeros. The TPS CIO maps the destination country code, IMD and branch number to a BankMaster branch number and inserts this value into this field.,21
Filler,N,1,92,Int,0,This field should be set to zeros.,21
Inter_Branching_Flag,A,1,93,String,0,This flag is used along with the Transaction Definition Id (displacement 0081) to identify inter-branching transactions. This flag can have the following values :,21
Device_Id,N,4,94,Int,0000,The device ID from which the transaction originated. This field must be set to zeros where the device id is unknown.,21
Message_Function_Code,N,1,98,Int,3,This field determines the type of transaction. It can have the following values :,21
Transaction_Type,N,2,99,Int,00,Not currently used.,21
Force_Post_Flag,N,1,101,Int,0,This field determines how the transaction should be treated. It can have the following values :,21
Transaction_Date,N,8,102,Int,20170215,The date the transaction originated from the front-office application. It must be in the format CCYYMMDD.,21
User_Id,A,4,110,String,RODR,The ID of the user who entered the transaction. The TPS uses the first three characters of this field along with the Transaction Sequence Number and Transaction Chain Number to generate a unique transaction reference for the transaction within TPS and Ban,21
Transaction_Sequence_Number,N,5,114,Int,00000,Each transaction must be assigned a unique transaction sequence number. However, each transaction within a chained series of BranchPower transactions must have the same sequence number. The Transaction Chain Number for each transaction in the chain must b,21
Transaction_Chain_Number,N,2,119,Int,00,Each transaction within a chain must be assigned a unique chain number. For transactions that are not part of a chain, this field must be set to 01.,21
Host_Task_Id,A,4,121,String,ST01,This field specifies which TPM should process the transaction. For a full list of valid codes, see the Introduction to this document.,21
BankMaster_Transaction_Type_020,N,2,125,Int,  ,The BankMaster transaction type to be used for this transaction. It must exist on the BankMaster Control file. This field is used only for financial messages and on all other messages it should be set to 00.,21
Authorised_Flag,A,1,127,String,0,This field must be initialised to 0.,21
Directory,A,6,128,String,esiubp,The easidata directory name,21
Name_of_File,A,6,134,String,cusal3,The easidata parameter file name,21
Transaction_Type,N,1,140,Int,3,1- insert , 2 – Amend, 3 - Inquiry,21
No_of_Fields,N,2,141,Int,60,Total number of fields in parameter file,21
Dsp_of_CLIENT NR,N,8,143,Int,01060002,01 – Field  number in parameter file,21
Filler     ,A,3,151,String,   ,Filler,21
CLIENT NR ,N,6,154,Int,599815,Value for field,21
Dsp_of_SHORT NAME,A,8,160,String,02300008,,21
Filler      ,A,3,168,String,   ,Filler,21
SHORT NAME,A,30,171,String,                              ,Value for field,21
Dsp_of_POST NAME,A,8,201,String,03500231,,21
Filler     ,A,3,209,String,   ,Filler,21
POST NAME,A,50,212,String,                                                  ,Value for field,21
Dsp_of_ADDRESS 1,A,8,262,String,04300038,,21
Filler     ,A,3,270,String,   ,Filler,21
ADDRESS 1,A,30,273,String,                              ,Value for field,21
Dsp_of_ADDRESS 2,A,8,303,String,05300068,,21
Filler     ,A,3,311,String,   ,Filler,21
ADDRESS 2,A,30,314,String,                              ,Value for field,21
Dsp_of_ADDRESS 3,A,8,344,String,06200098,,21
Filler     ,A,3,352,String,   ,Filler,21
ADDRESS 3,A,20,355,String,                    ,Value for field,21
Dsp_of_ADDRESS 4,A,8,375,String,07200118,,21
Filler     ,A,3,383,String,   ,Filler,21
ADDRESS 4,A,20,386,String,                     ,Value for field,21
Dsp_of_POST CODE,A,8,406,String,08100138,,21
Filler     ,A,3,414,String,   ,Filler,21
POST CODE,A,10,417,String,          ,Value for field,21
Dsp_of_ALHPA-CODE,A,8,427,String,09151149,,21
Filler     ,A,3,435,String,   ,Filler,21
ALHPA-CODE,A,15,438,String,               ,Value for field,21
Dsp_of_DATE EST,A,8,453,String,10080176,,21
Filler     ,A,3,461,String,   ,Filler,21
DATE EST,N,8,464,Int,        ,Value for field,21
Dsp_of_HOME PHONE,A,8,472,String,11091852,,21
Filler     ,A,3,480,String,   ,Filler,21
HOME PHONE,A,9,483,String,         ,Value for field,21
Dsp_of_ALT PHONE,A,8,492,String,12091861,,21
Filler     ,A,3,500,String,   ,Filler,21
ALT PHONE,A,9,503,String,         ,Value for field,21
Dsp_of_OCCUPATION,A,8,512,String,13021870,,21
Filler     ,A,3,520,String,   ,Filler,21
OCCUPATION,A,2,523,String,  ,Value for field,21
Dsp_of_EMPLOYER,A,8,525,String,14161872,,21
Filler     ,A,3,533,String,   ,Filler,21
EMPLOYER,A,16,536,String,                ,Value for field,21
Dsp_of_LOC TAX NO,A,8,552,String,15101888,,21
Filler     ,A,3,560,String,   ,Filler,21
LOC TAX NO,A,10,563,String,          ,Value for field,21
Dsp_of_MARITAL ST,A,8,573,String,16011898,,21
Filler     ,A,3,581,String,   ,Filler,21
MARITAL ST,A,1,584,String, ,Value for field,21
Dsp_of_CNTR RISK,A,8,585,String,17021921,,21
Filler     ,A,3,593,String,   ,Filler,21
CNTR RISK,A,2,596,String,00,Value for field,21
Dsp_of_CNTR CTZN,A,8,598,String,18021923,,21
Filler     ,A,3,606,String,   ,Filler,21
CNTR CTZN,A,2,609,String,00,Value for field,21
Dsp_of_CNTR RES,A,8,611,String,19021925,,21
Filler     ,A,3,619,String,   ,Filler,21
CNTR RES,A,2,622,String,  ,Value for field,21
Dsp_of_NXT REV DT,A,8,624,String,20081927,,21
Filler     ,A,3,632,String,   ,Filler,21
NXT REV DT,N,8,635,Int,        ,Value for field,21
Dsp_of_ID-CARD-1,A,8,643,String,21081933,,21
Filler     ,A,3,651,String,   ,Filler,21
ID-CARD-1,A,8,654,String,        ,Value for field,21
Dsp_of_ID-CARD-2,A,8,662,String,22081941,,21
Filler     ,A,3,670,String,   ,Filler,21
ID-CARD-2,A,8,673,String,        ,Value for field,21
Dsp_of_ID-CARD-3 ,A,8,681,String,23081949,,21
Filler     ,A,3,689,String,   ,Filler,21
ID-CARD-3 ,A,8,692,String,        ,Value for field,21
Dsp_of_SOC ECO GR,A,8,700,String,24011957,,21
Filler     ,A,3,708,String,   ,Filler,21
SOC ECO GR,N,1,711,Int,0,Value for field,21
Dsp_of_FTHR/SPOUS,A,8,712,String,25121958,,21
Filler     ,A,3,720,String,   ,Filler,21
FTHR/SPOUS,A,12,723,String,            ,Value for field,21
Dsp_of_CONN CLNT1,A,8,735,String,26061970,,21
Filler     ,A,3,743,String,   ,Filler,21
CONN CLNT1,N,6,746,Int,      ,Value for field,21
Dsp_of_CONN CLNT2,A,8,752,String,27061976,,21
Filler     ,A,3,760,String,   ,Filler,21
CONN CLNT2,N,6,763,Int,      ,Value for field,21
Dsp_of_CONN CLNT3,A,8,769,String,28061982,,21
Filler     ,A,3,777,String,   ,Filler,21
CONN CLNT3,N,6,780,Int,      ,Value for field,21
Dsp_of_CONN CLNT4,A,8,786,String,29061988,,21
Filler     ,A,3,794,String,   ,Filler,21
CONN CLNT4,N,6,797,Int,      ,Value for field,21
Dsp_of_PRIME A/C,A,8,803,String,30130155,,21
Filler     ,A,3,811,String,   ,Filler,21
PRIME A/C,A,13,814,String,             ,Value for field,21
Dsp_of_BANK FLAG,A,8,827,String,31010175,,21
Filler     ,A,3,835,String,   ,Filler,21
BANK FLAG,N,1,838,Int,0,Value for field,21
Dsp_of_NON-RES CD,A,8,839,String,32010148,,21
Filler     ,A,3,847,String,   ,Filler,21
NON-RES CD,A,1,850,String, ,Value for field,21
Dsp_of_STAFF IND.,A,8,851,String,33010184,,21
Filler     ,A,3,859,String,   ,Filler,21
STAFF IND.,A,1,862,String, ,Value for field,21
Dsp_of_SEX INDIC.,A,8,863,String,34010186,,21
Filler     ,A,3,871,String,   ,Filler,21
SEX INDIC.,A,1,874,String, ,Value for field,21
Dsp_of_LANG IND ,A,8,875,String,35010185,,21
Filler     ,A,3,883,String,   ,Filler,21
LANG IND ,N,1,886,Int,0,Value for field,21
Dsp_of_GAP ANL IN,A,8,887,String,36010187,,21
Filler     ,A,3,895,String,   ,Filler,21
GAP ANL IN,N,1,898,Int,0,Value for field,21
Dsp_of_CORR ADD,A,8,899,String,37060190,,21
Filler     ,A,3,907,String,   ,Filler,21
CORR ADD,N,6,910,Int,      ,Value for field,21
Dsp_of_INT PAID ,A,8,916,String,38010291,,21
Filler     ,A,3,924,String,   ,Filler,21
INT PAID ,N,1,927,Int,0,Value for field,21
Dsp_of_INT RECD.,A,8,928,String,39010292,,21
Filler     ,A,3,936,String,   ,Filler,21
INT RECD.,N,1,939,Int,0,Value for field,21
Dsp_of_FX FUT IND,A,8,940,String,40010299,,21
Filler     ,A,3,948,String,   ,Filler,21
FX FUT IND,N,1,951,Int,0,Value for field,21
Dsp_of_COMM CODE ,A,8,952,String,41010399,,21
Filler     ,A,3,960,String,   ,Filler,21
COMM CODE ,A,1,963,String, ,Value for field,21
Dsp_of_ALT. MSG.?,A,8,964,String,42010385,,21
Filler     ,A,3,972,String,   ,Filler,21
ALT. MSG.?,N,1,975,Int,0,Value for field,21
Dsp_of_FIN. INST.,A,8,976,String,43010396,,21
Filler     ,A,3,984,String,   ,Filler,21
FIN. INST.,N,1,987,Int,0,Value for field,21
Dsp_of_TAX FLAG,A,8,988,String,44010397,,21
Filler     ,A,3,996,String,   ,Filler,21
TAX FLAG,A,1,999,String, ,Value for field,21
Dsp_of_LABEL PRT ,A,8,1000,String,45010374,,21
Filler     ,A,3,1008,String,   ,Filler,21
LABEL PRT ,N,1,1011,Int,0,Value for field,21
Dsp_of_STMT FLAG,A,8,1012,String,46011117,,21
Filler     ,A,3,1020,String,   ,Filler,21
STMT FLAG,N,1,1023,Int,0,Value for field,21
Dsp_of_FILLER,A,8,1024,String,47070168,,21
Filler     ,A,3,1032,String,   ,Filler,21
FILLER,A,7,1035,String,       ,Value for field,21
Dsp_of_BRANCH NO,A,8,1042,String,48041848,,21
Filler     ,A,3,1050,String,   ,Filler,21
BRANCH NO,N,4,1053,Int,0000,Value for field,21
Dsp_of_TITLES,A,8,1057,String,49100281,,21
Filler     ,A,3,1065,String,   ,Filler,21
TITLES,A,10,1068,String,          ,Value for field,21
Dsp_of_ZONE ,A,8,1078,String,50011994,,21
Filler     ,A,3,1086,String,   ,Filler,21
ZONE ,A,1,1089,String, ,Value for field,21
Dsp_of_ALTKEY ONE,A,8,1090,String,51151164,,21
Filler     ,A,3,1098,String,   ,Filler,21
ALTKEY ONE,A,15,1101,String,        ,Value for field,21
Dsp_of_MAIDEN SNM,A,8,1116,String,52301995,,21
Filler     ,A,3,1124,String,   ,Filler,21
MAIDEN SNM,A,30,1127,String,                              ,Value for field,21
Dsp_of_DEPT.INDIC,A,8,1157,String,53011908,,21
Filler     ,A,3,1165,String,   ,Filler,21
DEPT.INDIC,N,1,1168,Int, ,Value for field,21
Dsp_of_RSK GRADE,A,8,1169,String,54021909,,21
Filler     ,A,3,1177,String,   ,Filler,21
RSK GRADE,A,2,1180,String,  ,Value for field,21
Dsp_of_CUST TYPE,A,8,1182,String,55011911,,21
Filler     ,A,3,1190,String,   ,Filler,21
CUST TYPE,A,1,1193,String, ,Value for field,21
Dsp_of_DOC.IN.ORD,A,8,1194,String,56012025,,21
Filler     ,A,3,1202,String,   ,Filler,21
DOC.IN.ORD,A,1,1205,String,0,Value for field,21
Dsp_of_DOC. TYPE,A,8,1206,String,57012032,,21
Filler     ,A,3,1214,String,   ,Filler,21
DOC. TYPE,A,1,1217,String, ,Value for field,21
Dsp_of_CNTR ISSUE,A,8,1218,String,58022033,,21
Filler     ,A,3,1226,String,   ,Filler,21
CNTR ISSUE,A,2,1229,String,  ,Value for field,21
Dsp_of_REL. PARTY,A,8,1231,String,59012036,,21
Filler     ,A,3,1239,String,   ,Filler,21
REL. PARTY,A,1,1242,String,N,Value for field,21
Dsp_of_DTE INSERT,A,8,1243,String,60082026,,21
Filler     ,A,3,1251,String,   ,Filler,21
DTE INSERT,N,8,1254,Int,20170213,Value for field,21
Destination_Mailbox_21,A,1,0,String,b,,22
Destination_Country_Code_21,N,3,1,Int,470,,22
Destination_IMD_Code_21,N,6,4,Int,512345,,22
Destination_Branch_Number_21,N,4,10,Int,0005,,22
Source_Mailbox_21,A,1,14,String,a,,22
Source_Country_Code_21,N,3,15,Int,470,,22
Source_IMD_Code_21,N,6,18,Int,512345,,22
Source_Branch_Number_21,N,4,24,Int,0005,,22
Business_Period_21,N,4,28,Int,0000,,22
Message_Type_42,N,1,32,Int,1,,22
Sequence_Number_21,N,6,33,Int,000000,,22
Time_21,N,6,39,Int,095102,,22
Transaction_Status_21,N,1,45,Int,0,,22
Message_Flags_21,A,1,46,String,@,,22
Reconciliation_Period_21,N,4,47,Int,0000,,22
Reconciliation_Currency_21,N,3,51,Int,000,,22
